0,0,1,6,(0.2, 0.2, 0.2),(0.1, 2.2, 0.0),8660, 2.580734, 0.02980062,0,-1
0,1,0,4,(0.3, 0.3, 0.3),(-0.7, 1.0, -0.7),1416, 2.671222, 0.1886456,1,-1
0,1,1,8,(0.4, 0.4, 0.4),(0.1, 1.0, 0.7),1972, 3.118503, 0.1581391,1,-1
0,2,0,2,(0.4, 0.4, 0.4),(-0.7, 1.0, 0.7),1414, 2.680964, 0.1896014,1.5,0.7179586
0,2,1,10,(0.2, 0.2, 0.2),(0.1, 1.0, -0.7),2782, 3.265275, 0.1173715,1.5,0.7179586
0,3,0,17,(0.3, 0.3, 0.3),(0.9, 1.8, -0.7),3643, 2.051758, 0.05632057,1,-0.09952956
0,3,1,1,(0.2, 0.2, 0.2),(-0.7, 1.8, 0.7),1426, 2.957592, 0.2074048,1,-0.09952956
0,4,0,8,(0.2, 0.2, 0.2),(0.1, 1.0, 0.7),1785, 3.320307, 0.1860116,0.5,-0.1081188

0,0,1,6,(0.2, 0.2, 0.2),(0.1, 2.2, 0.0),4889, 2.785173, 0.5696815,0,-1
0,1,0,4,(0.3, 0.3, 0.3),(-0.7, 1.0, -0.7),1578, 2.614343, 1.656745,1,-1
0,1,1,8,(0.4, 0.4, 0.4),(0.1, 1.0, 0.7),2075, 3.008554, 1.449906,1,-1
0,2,0,2,(0.4, 0.4, 0.4),(-0.7, 1.0, 0.7),1329, 2.417697, 1.819185,1.491822,0.9836437
0,2,1,10,(0.2, 0.2, 0.2),(0.1, 1.0, -0.7),2113, 3.150705, 1.491105,1.491822,0.9836437
0,3,0,17,(0.3, 0.3, 0.3),(0.9, 1.8, -0.7),2854, 2.458975, 0.8615891,1.542732,0.1018198
0,3,1,1,(0.2, 0.2, 0.2),(-0.7, 1.8, 0.7),1045, 3.187663, 3.050395,1.542732,0.1018198
0,4,0,8,(0.2, 0.2, 0.2),(0.1, 1.0, 0.7),1610, 3.293931, 2.04592,1.693155,0.3008471
0,4,1,17,(0.2, 0.2, 0.2),(0.9, 1.8, -0.7),3502, 2.990272, 0.8538755,1.693155,0.3008471
0,5,0,14,(0.2, 0.2, 0.2),(0.9, 1.0, 0.7),2971, 3.11151, 1.047294,1.445169,-0.5060945
0,5,1,8,(0.2, 0.2, 0.2),(0.1, 1.0, 0.7),2220, 3.273942, 1.474749,1.445169,-0.5060945
0,6,0,15,(0.4, 0.4, 0.4),(0.9, 0.6, 0.0),3212, 3.316029, 1.032388,1.35262,-0.1888762
0,6,1,3,(0.4, 0.4, 0.4),(-0.7, 0.6, 0.0),1257, 2.001802, 1.592524,1.35262,-0.1888762
0,7,0,4,(0.4, 0.4, 0.4),(-0.7, 1.0, -0.7),1525, 2.680444, 1.757668,1.377823,0.0514344

0,0,1,6,(0.2, 0.2, 0.2),(0.1, 2.2, 0.0),3158, 2.097427, 0.664163,0,-1
0,1,0,4,(0.3, 0.3, 0.3),(-0.7, 1.0, -0.7),1769, 2.705762, 1.529543,1,-1
0,1,1,8,(0.4, 0.4, 0.4),(0.1, 1.0, 0.7),2286, 2.971349, 1.299803,1,-1
0,2,0,2,(0.4, 0.4, 0.4),(-0.7, 1.0, 0.7),1293, 2.520991, 1.949722,1.375255,0.7505099
0,2,1,10,(0.2, 0.2, 0.2),(0.1, 1.0, -0.7),1753, 3.141913, 1.792306,1.375255,0.7505099
0,3,0,17,(0.3, 0.3, 0.3),(0.9, 1.8, -0.7),2926, 2.045889, 0.6992102,1.603426,0.4563414
0,3,1,1,(0.2, 0.2, 0.2),(-0.7, 1.8, 0.7),1783, 3.136442, 1.759081,1.603426,0.4563414
0,4,0,8,(0.2, 0.2, 0.2),(0.1, 1.0, 0.7),1864, 3.32768, 1.785236,1.282491,-0.6418685
0,4,1,17,(0.2, 0.2, 0.2),(0.9, 1.8, -0.7),3160, 1.827788, 0.5784138,1.282491,-0.6418685
0,5,0,14,(0.2, 0.2, 0.2),(0.9, 1.0, 0.7),3207, 2.895504, 0.9028701,1.259304,-0.04732084
0,5,1,8,(0.2, 0.2, 0.2),(0.1, 1.0, 0.7),2173, 3.277204, 1.508147,1.259304,-0.04732084
0,6,0,15,(0.4, 0.4, 0.4),(0.9, 0.6, 0.0),2755, 3.239195, 1.175751,1.270909,0.02368379

/// 5 targets 

0,0,1,6,(0.2, 0.2, 0.2),(0.1, 2.2, 0.0),3249, 2.281162, 0.7021119,0,-1
